"","fric","fsp","fun","s"
"LC",44.8,0.111008159444844,0.00425171744387074,515
"NT",20.5,0.117602074973365,0.0155652372367725,122
"VU",59.2,0.139324354750534,0.0148997458332042,176
"EN",54.7,0.172224468626691,0.0165837100391775,118
"CR",25.9,0.138815368174611,0.0201068565827607,84
"AT",97.6,0.151134310280683,0.0078848097543078,378
"NoT",48.2,0.114143157631477,0.00348057647616025,637
