"","DF","LRT","Pr(>Chi)"
"habitat_p",2,202.170348473272,1.25680131604951e-44
"terrestriality_p",2,86.3301570946612,1.79326542834986e-19
"diet_p",5,35.0654945141835,1.46003814282579e-06
"size_p",1,82.8170912065661,9.00083502977528e-20
"vertical_p",2,17.2025558002156,0.000183870675115015
"thermo_p",1,5.43497465165092,0.0197373771457431
"feeding_p",1,14.1335886226304,0.00017027605179668
