"","A1","A2","A3"
"habitat",0.954116236487209,0.137165565272085,0.269643385646621
"terrestriality",0.49603250387823,0.0663042987601461,0.186950385973769
"diet",0.0780701472751821,0.566493910521565,0.567169457151217
"size",0.0155616954878153,0.404990828388465,0.0222406847553579
"vertical",0.0899937625837086,0.652272488125855,0.0271633932667934
"thermo",0.0147843943302507,0.0832098661068443,0.000641459724712723
"feeding",0.0282324036844285,0.18443450829329,0.143236878868941
