"","Species"
"222","Cephaloscyllium stevensi"
"223","Cephaloscyllium sufflans"
"224","Cephaloscyllium umbratile"
"225","Cephaloscyllium variegatum"
"226","Cephaloscyllium ventriosum"
"227","Cephaloscyllium zebrum"
"228","Cephalurus cephalus"
"229","Cetorhinus maximus"
"230","Chaenogaleus macrostoma"
"231","Chiloscyllium arabicum"
"232","Chiloscyllium burmensis"
"233","Chiloscyllium griseum"
"234","Chiloscyllium hasseltii"
"235","Chiloscyllium indicum"
"236","Chiloscyllium plagiosum"
"237","Chiloscyllium punctatum"
"238","Chlamydoselachus africana"
"239","Chlamydoselachus anguineus"
"240","Cirrhigaleus asper"
"241","Cirrhigaleus australis"
"242","Cirrhigaleus barbifer"
"243","Cirrhoscyllium expolitum"
"244","Cirrhoscyllium formosanum"
"245","Cirrhoscyllium japonicum"
"246","Cruriraja andamanica"
"247","Cruriraja atlantis"
"248","Cruriraja cadenati"
"249","Cruriraja durbanensis"
"250","Cruriraja hulleyi"
"251","Cruriraja parcomaculata"
"252","Cruriraja poeyi"
"253","Cruriraja rugosa"
"254","Ctenacis fehlmanni"
"255","Dactylobatus armatus"
"256","Dactylobatus clarkii"
"257","Dalatias licha"
"258","Dasyatis acutirostra"
"259","Dasyatis akajei"
"260","Dasyatis americana"
"261","Dasyatis bennettii"
"262","Dasyatis brevicaudata"
"263","Dasyatis centroura"
"264","Dasyatis chrysonota"
"265","Dasyatis colarensis"
"266","Dasyatis dipterura"
"267","Dasyatis fluviorum"
"268","Dasyatis garouaensis"
"269","Dasyatis geijskesi"
"270","Dasyatis guttata"
"271","Dasyatis hypostigma"
"272","Dasyatis izuensis"
"273","Dasyatis laevigata"
"274","Dasyatis laosensis"
"275","Dasyatis lata"
"276","Dasyatis longa"
"277","Dasyatis margarita"
"278","Dasyatis margaritella"
"279","Dasyatis marianae"
"280","Dasyatis marmorata"
"281","Dasyatis microps"
"282","Dasyatis navarrae"
"283","Dasyatis parvonigra"
"284","Dasyatis pastinaca"
"285","Dasyatis rudis"
"286","Dasyatis sabina"
"287","Dasyatis say"
"288","Dasyatis sinensis"
"289","Dasyatis ukpam"
"290","Dasyatis zugei"
"291","Deania calcea"
"292","Deania hystricosa"
"293","Deania profundorum"
"294","Deania quadrispinosa"
"295","Dentiraja lemprieri"
"296","Diplobatis colombiensis"
"297","Diplobatis guamachensis"
"298","Diplobatis ommata"
"299","Diplobatis pictus"
"300","Dipturus acrobelus"
"301","Dipturus apricus"
"302","Dipturus australis"
"303","Dipturus batis"
"304","Dipturus bullisi"
"305","Dipturus campbelli"
"306","Dipturus canutus"
"307","Dipturus cerva"
"308","Dipturus confusus"
"309","Dipturus crosnieri"
"310","Dipturus doutrei"
"311","Dipturus endeavouri"
"312","Dipturus falloargus"
"313","Dipturus flindersi"
"314","Dipturus garricki"
"315","Dipturus gigas"
"316","Dipturus grahami"
"317","Dipturus gudgeri"
"318","Dipturus healdi"
"319","Dipturus innominatus"
"320","Dipturus johannisdavisi"
"321","Dipturus laevis"
"322","Dipturus lanceorostratus"
"323","Dipturus macrocauda"
"324","Dipturus melanospilus"
"325","Dipturus mennii"
"326","Dipturus nidarosiensis"
"327","Dipturus oculus"
"328","Dipturus olseni"
"329","Dipturus oregoni"
"330","Dipturus oxyrinchus"
"331","Dipturus polyommata"
"332","Dipturus pullopunctatus"
"333","Dipturus queenslandicus"
"334","Dipturus springeri"
"335","Dipturus stenorhynchus"
"336","Dipturus teevani"
"337","Dipturus tengu"
"338","Dipturus trachyderma"
"339","Dipturus wengi"
"340","Discopyge castelloi"
"341","Discopyge tschudii"
"342","Echinorhinus brucus"
"343","Echinorhinus cookei"
"344","Electrolux addisoni"
"345","Eridacnis barbouri"
"346","Eridacnis radcliffei"
"347","Eridacnis sinuans"
"348","Etmopterus bigelowi"
"349","Etmopterus brachyurus"
"350","Etmopterus bullisi"
"351","Etmopterus burgessi"
"352","Etmopterus carteri"
"353","Etmopterus caudistigmus"
"354","Etmopterus compagnoi"
"355","Etmopterus decacuspidatus"
"356","Etmopterus dianthus"
"357","Etmopterus dislineatus"
"358","Etmopterus evansi"
"359","Etmopterus fusus"
"360","Etmopterus gracilispinis"
"361","Etmopterus hillianus"
"362","Etmopterus litvinovi"
"363","Etmopterus lucifer"
"364","Etmopterus molleri"
"365","Etmopterus perryi"
"366","Etmopterus polli"
"367","Etmopterus princeps"
"368","Etmopterus pseudosqualiolus"
"369","Etmopterus pusillus"
"370","Etmopterus pycnolepis"
"371","Etmopterus robinsi"
"372","Etmopterus schultzi"
"373","Etmopterus sculptus"
"374","Etmopterus sentosus"
"375","Etmopterus spinax"
"376","Etmopterus splendidus"
"377","Etmopterus unicolor"
"378","Etmopterus viator"
"379","Etmopterus villosus"
"380","Etmopterus virens"
"381","Eucrossorhinus dasypogon"
"382","Euprotomicroides zantedeschia"
"383","Euprotomicrus bispinatus"
"384","Eusphyra blochii"
"385","Fenestraja atripinna"
"386","Fenestraja cubensis"
"387","Fenestraja ishiyamai"
"388","Fenestraja maceachrani"
"389","Fenestraja mamillidens"
"390","Fenestraja plutonia"
"391","Fenestraja sinusmexicanus"
"392","Figaro boardmani"
"393","Figaro striatus"
"394","Furgaleus macki"
"395","Galeocerdo cuvier"
"396","Galeorhinus galeus"
"397","Galeus antillensis"
"398","Galeus arae"
"399","Galeus atlanticus"
"400","Galeus eastmani"
"401","Galeus gracilis"
"402","Galeus longirostris"
"403","Galeus melastomus"
"404","Galeus mincaronei"
"405","Galeus murinus"
"406","Galeus nipponensis"
"407","Galeus piperatus"
"408","Galeus polli"
"409","Galeus priapus"
"410","Galeus sauteri"
"411","Galeus schultzi"
"412","Galeus springeri"
"413","Ginglymostoma cirratum"
"414","Glaucostegus cemiculus"
"415","Glaucostegus granulatus"
"416","Glaucostegus halavi"
"417","Glaucostegus obtusus"
"418","Glaucostegus thouin"
"419","Glaucostegus typus"
"420","Glyphis gangeticus"
"421","Glyphis garricki"
"422","Glyphis glyphis"
"423","Gollum attenuatus"
"424","Gurgesiella atlantica"
"425","Gurgesiella dorsalifera"
"426","Gurgesiella furvescens"
"427","Gymnura altavela"
"428","Gymnura australis"
"429","Gymnura crebripunctata"
"430","Gymnura japonica"
"431","Gymnura marmorata"
"432","Gymnura micrura"
"433","Gymnura natalensis"
"434","Gymnura poecilura"
"435","Gymnura tentaculata"
"436","Gymnura zonura"
"437","Halaelurus boesemani"
"438","Halaelurus buergeri"
"439","Halaelurus lineatus"
"440","Halaelurus maculosus"
"441","Halaelurus natalensis"
"442","Halaelurus quagga"
"443","Halaelurus sellus"
"444","Haploblepharus edwardsii"
"445","Haploblepharus fuscus"
"446","Haploblepharus kistnasamyi"
"447","Haploblepharus pictus"
"448","Hemigaleus australiensis"
"449","Hemigaleus microstoma"
"450","Hemipristis elongata"
"451","Hemiscyllium freycineti"
"452","Hemiscyllium galei"
"453","Hemiscyllium hallstromi"
"454","Hemiscyllium henryi"
"455","Hemiscyllium michaeli"
"456","Hemiscyllium ocellatum"
"457","Hemiscyllium strahani"
"458","Hemiscyllium trispeculare"
"459","Hemitriakis abdita"
"460","Hemitriakis complicofasciata"
"461","Hemitriakis falcata"
"462","Hemitriakis japanica"
"463","Hemitriakis leucoperiptera"
"464","Heptranchias perlo"
"465","Heterodontus francisci"
"466","Heterodontus galeatus"
"467","Heterodontus japonicus"
"468","Heterodontus mexicanus"
"469","Heterodontus omanensis"
"470","Heterodontus portusjacksoni"
"471","Heterodontus quoyi"
"472","Heterodontus ramalheira"
"473","Heterodontus zebra"
"474","Heteronarce bentuviai"
"475","Heteronarce garmani"
"476","Heteronarce mollis"
"477","Heteronarce prabhui"
"478","Heteroscymnoides marleyi"
"479","Hexanchus griseus"
"480","Hexanchus nakamurai"
"481","Hexatrygon bickelli"
"482","Himantura astra"
"483","Himantura dalyensis"
"484","Himantura fai"
"485","Himantura gerrardi"
"486","Himantura granulata"
"487","Himantura hortlei"
"488","Himantura imbricata"
"489","Himantura jenkinsii"
"490","Himantura kittipongi"
"491","Himantura leoparda"
"492","Himantura lobistoma"
"493","Himantura oxyrhyncha"
"494","Himantura pacifica"
"495","Himantura pastinacoides"
"496","Himantura polylepis"
"497","Himantura randalli"
"498","Himantura schmardae"
"499","Himantura signifer"
"500","Himantura toshi"
"501","Himantura uarnacoides"
"502","Himantura uarnak"
"503","Himantura undulata"
"504","Himantura walga"
"505","Holohalaelurus favus"
"506","Holohalaelurus grennian"
"507","Holohalaelurus melanostigma"
"508","Holohalaelurus punctatus"
"509","Holohalaelurus regani"
"510","Hongeo koreana"
"511","Hypnos monopterygius"
"512","Hypogaleus hyugaensis"
"513","Iago garricki"
"514","Iago omanensis"
"515","Indobatis ori"
"516","Insentiraja laxipella"
"517","Insentiraja subtilispinosa"
"518","Irolita waitii"
"519","Irolita westraliensis"
"520","Isistius brasiliensis"
"521","Isistius plutodus"
"522","Isogomphodon oxyrhynchus"
"523","Isurus oxyrinchus"
"524","Isurus paucus"
"525","Lamiopsis temminckii"
"526","Lamna ditropis"
"527","Lamna nasus"
"528","Leptocharias smithii"
"529","Leucoraja circularis"
"530","Leucoraja compagnoi"
"531","Leucoraja erinacea"
"532","Leucoraja fullonica"
"533","Leucoraja garmani"
"534","Leucoraja lentiginosa"
"535","Leucoraja leucosticta"
"536","Leucoraja melitensis"
"537","Leucoraja naevus"
"538","Leucoraja ocellata"
"539","Leucoraja pristispina"
"540","Leucoraja wallacei"
"541","Leucoraja yucatanensis"
"542","Loxodon macrorhinus"
"543","Makararaja chindwinensis"
"544","Malacoraja kreffti"
"545","Malacoraja obscura"
"546","Malacoraja senta"
"547","Malacoraja spinacidermis"
"548","Manta alfredi"
"549","Manta birostris"
"550","Megachasma pelagios"
"551","Mitsukurina owstoni"
"552","Mobula hypostoma"
"553","Mobula kuhlii"
"554","Mobula mobular"
"555","Mobula munkiana"
"556","Mobula tarapacana"
"557","Mobula thurstoni"
"558","Mollisquama parini"
"559","Mustelus albipinnis"
"560","Mustelus antarcticus"
"561","Mustelus asterias"
"562","Mustelus californicus"
"563","Mustelus canis"
"564","Mustelus dorsalis"
"565","Mustelus fasciatus"
"566","Mustelus griseus"
"567","Mustelus henlei"
"568","Mustelus higmani"
"569","Mustelus lenticulatus"
"570","Mustelus lunulatus"
"571","Mustelus manazo"
"572","Mustelus mento"
"573","Mustelus minicanis"
"574","Mustelus mosis"
"575","Mustelus mustelus"
"576","Mustelus norrisi"
"577","Mustelus palumbes"
"578","Mustelus punctulatus"
"579","Mustelus ravidus"
"580","Mustelus schmitti"
"581","Mustelus sinusmexicanus"
"582","Mustelus stevensi"
"583","Mustelus walkeri"
"584","Mustelus whitneyi"
"585","Mustelus widodoi"
"586","Myliobatis californica"
"587","Myliobatis chilensis"
"588","Myliobatis freminvillei"
"589","Myliobatis goodei"
"590","Myliobatis hamlyni"
"591","Myliobatis longirostris"
"592","Myliobatis peruvianus"
"593","Myliobatis ridens"
"594","Myliobatis tenuicaudatus"
"595","Myliobatis tobijei"
"596","Narcine atzi"
"597","Narcine bancroftii"
"598","Narcine brasiliensis"
"599","Narcine brevilabiata"
"600","Narcine entemedor"
"601","Narcine insolita"
"602","Narcine lasti"
"603","Narcine leoparda"
"604","Narcine lingula"
"605","Narcine maculata"
"606","Narcine nelsoni"
"607","Narcine oculifera"
"608","Narcine ornata"
"609","Narcine prodorsalis"
"610","Narcine rierai"
"611","Narcine tasmaniensis"
"612","Narcine timlei"
"613","Narcine vermiculatus"
"614","Narcine westraliensis"
"615","Narke capensis"
"616","Narke dipterygia"
"617","Narke japonica"
"618","Nasolamia velox"
"619","Nebrius ferrugineus"
"620","Negaprion acutidens"
"621","Negaprion brevirostris"
"622","Neoraja africana"
"623","Neoraja caerulea"
"624","Neoraja carolinensis"
"625","Neoraja iberica"
"626","Neoraja stehmanni"
"627","Neotrygon annotata"
"628","Neotrygon kuhlii"
"629","Neotrygon leylandi"
"630","Neotrygon ningalooensis"
"631","Neotrygon picta"
"632","Notoraja alisae"
"633","Notoraja azurea"
"634","Notoraja fijiensis"
"635","Notoraja hirticauda"
"636","Notoraja inusitata"
"637","Notoraja lira"
"638","Notoraja longiventralis"
"639","Notoraja ochroderma"
"640","Notoraja sapphira"
"641","Notoraja sticta"
"642","Notoraja tobitukai"
"643","Notorynchus cepedianus"
"644","Odontaspis ferox"
"645","Odontaspis noronhai"
"646","Okamejei acutispina"
"647","Okamejei arafurensis"
"648","Okamejei boesemani"
"649","Okamejei cairae"
"650","Okamejei heemstrai"
"651","Okamejei hollandi"
"652","Okamejei jensenae"
"653","Okamejei kenojei"
"654","Okamejei leptoura"
"655","Okamejei meerdervoortii"
"656","Okamejei philipi"
"657","Okamejei pita"
"658","Okamejei powelli"
"659","Okamejei schmidti"
"660","Orectolobus floridus"
"661","Orectolobus halei"
"662","Orectolobus hutchinsi"
"663","Orectolobus japonicus"
"664","Orectolobus maculatus"
"665","Orectolobus ornatus"
"666","Orectolobus parvimaculatus"
"667","Orectolobus reticulatus"
"668","Orectolobus wardi"
"669","Oxynotus bruniensis"
"670","Oxynotus caribbaeus"
"671","Oxynotus centrina"
"672","Oxynotus japonicus"
"673","Oxynotus paradoxus"
"674","Paragaleus leucolomatus"
"675","Paragaleus pectoralis"
"676","Paragaleus randalli"
"677","Paragaleus tengi"
"678","Parascyllium collare"
"679","Parascyllium elongatum"
"680","Parascyllium ferrugineum"
"681","Parascyllium sparsimaculatum"
"682","Parascyllium variolatum"
"683","Paratrygon aiereba"
"684","Parmaturus albimarginatus"
"685","Parmaturus albipenis"
"686","Parmaturus bigus"
"687","Parmaturus lanatus"
"688","Parmaturus macmillani"
"689","Parmaturus melanobranchus"
"690","Parmaturus pilosus"
"691","Parmaturus xaniurus"
"692","Pastinachus atrus"
"693","Pastinachus sephen"
"694","Pastinachus solocirostris"
"695","Pavoraja alleni"
"696","Pavoraja arenaria"
"697","Pavoraja mosaica"
"698","Pavoraja nitida"
"699","Pavoraja pseudonitida"
"700","Pavoraja umbrosa"
"701","Pentanchus profundicolus"
"702","Planonasus parini"
"703","Platyrhina sinensis"
"704","Platyrhinoidis triseriata"
"705","Plesiobatis daviesi"
"706","Plesiotrygon iwamae"
"707","Pliotrema warreni"
"708","Poroderma africanum"
"709","Poroderma pantherinum"
"710","Potamotrygon brachyura"
"711","Potamotrygon constellata"
"712","Potamotrygon henlei"
"713","Potamotrygon hystrix"
"714","Potamotrygon leopoldi"
"715","Potamotrygon magdalenae"
"716","Potamotrygon marinae"
"717","Potamotrygon motoro"
"718","Potamotrygon ocellata"
"719","Potamotrygon orbignyi"
"720","Potamotrygon scobina"
"721","Potamotrygon signata"
"722","Potamotrygon yepezi"
"723","Prionace glauca"
"724","Pristiophorus cirratus"
"725","Pristiophorus delicatus"
"726","Pristiophorus japonicus"
"727","Pristiophorus nancyae"
"728","Pristiophorus nudipinnis"
"729","Pristiophorus schroederi"
"730","Pristis clavata"
"731","Pristis pectinata"
"732","Pristis pristis"
"733","Pristis zijsron"
"734","Proscyllium habereri"
"735","Psammobatis bergi"
"736","Psammobatis extenta"
"737","Psammobatis lentiginosa"
"738","Psammobatis normani"
"739","Psammobatis parvacauda"
"740","Psammobatis rudis"
"741","Psammobatis rutrum"
"742","Psammobatis scobina"
"743","Pseudocarcharias kamoharai"
"744","Pseudoginglymostoma brevicaudatum"
"745","Pseudoraja fischeri"
"746","Pseudotriakis microdon"
"747","Pteroplatytrygon violacea"
"748","Raja ackleyi"
"749","Raja asterias"
"750","Raja bahamensis"
"751","Raja binoculata"
"752","Raja brachyura"
"753","Raja cervigoni"
"754","Raja chinensis"
"755","Raja clavata"
"756","Raja cortezensis"
"757","Raja eglanteria"
"758","Raja equatorialis"
"759","Raja herwigi"
"760","Raja inornata"
"761","Raja maderensis"
"762","Raja microocellata"
"763","Raja miraletus"
"764","Raja montagui"
"765","Raja polystigma"
"766","Raja pulchra"
"767","Raja radula"
"768","Raja rhina"
"769","Raja stellulata"
"770","Raja straeleni"
"771","Raja texana"
"772","Raja undulata"
"773","Raja velezi"
"774","Rajella annandalei"
"775","Rajella barnardi"
"776","Rajella bathyphila"
"777","Rajella bigelowi"
"778","Rajella caudaspinosa"
"779","Rajella challengeri"
"780","Rajella dissimilis"
"781","Rajella eisenhardti"
"782","Rajella fuliginea"
"783","Rajella fyllae"
"784","Rajella kukujevi"
"785","Rajella leoparda"
"786","Rajella lintea"
"787","Rajella nigerrima"
"788","Rajella purpuriventralis"
"789","Rajella ravidula"
"790","Rajella sadowskii"
"791","Rhina ancylostoma"
"792","Rhincodon typus"
"793","Rhinobatos albomaculatus"
"794","Rhinobatos annandalei"
"795","Rhinobatos glaucostigma"
"796","Rhinobatos holcorhynchus"
"797","Rhinobatos horkelii"
"798","Rhinobatos hynnicephalus"
"799","Rhinobatos irvinei"
"800","Rhinobatos jimbaranensis"
"801","Rhinobatos lentiginosus"
"802","Rhinobatos leucorhynchus"
"803","Rhinobatos lionotus"
"804","Rhinobatos nudidorsalis"
"805","Rhinobatos penggali"
"806","Rhinobatos percellens"
"807","Rhinobatos planiceps"
"808","Rhinobatos prahli"
"809","Rhinobatos productus"
"810","Rhinobatos punctifer"
"811","Rhinobatos rhinobatos"
"812","Rhinobatos sainsburyi"
"813","Rhinobatos schlegelii"
"814","Rhinoptera bonasus"
"815","Rhinoptera brasiliensis"
"816","Rhinoptera javanica"
"817","Rhinoptera marginata"
"818","Rhinoptera neglecta"
"819","Rhinoptera steindachneri"
"820","Rhinoraja kujiensis"
"821","Rhinoraja longicauda"
"822","Rhinoraja odai"
"823","Rhizoprionodon acutus"
"824","Rhizoprionodon lalandii"
"825","Rhizoprionodon longurio"
"826","Rhizoprionodon oligolinx"
"827","Rhizoprionodon porosus"
"828","Rhizoprionodon taylori"
"829","Rhizoprionodon terraenovae"
"830","Rhynchobatus australiae"
"831","Rhynchobatus djiddensis"
"832","Rhynchobatus laevis"
"833","Rhynchobatus luebberti"
"834","Rhynchobatus palpebratus"
"835","Rhynchobatus springeri"
"836","Rioraja agassizii"
"837","Rostroraja alba"
"838","Schroederichthys bivius"
"839","Schroederichthys chilensis"
"840","Schroederichthys maculatus"
"841","Schroederichthys saurisqualus"
"842","Schroederichthys tenuis"
"843","Scoliodon laticaudus"
"844","Scoliodon macrorhynchos"
"845","Scyliorhinus boa"
"846","Scyliorhinus canicula"
"847","Scyliorhinus capensis"
"848","Scyliorhinus cervigoni"
"849","Scyliorhinus comoroensis"
"850","Scyliorhinus haeckelii"
"851","Scyliorhinus hesperius"
"852","Scyliorhinus meadi"
"853","Scyliorhinus retifer"
"854","Scyliorhinus stellaris"
"855","Scyliorhinus torazame"
"856","Scyliorhinus torrei"
"857","Scylliogaleus quecketti"
"858","Scymnodalatias albicauda"
"859","Scymnodalatias garricki"
"860","Scymnodalatias oligodon"
"861","Scymnodalatias sherwoodi"
"862","Scymnodon macracanthus"
"863","Scymnodon ringens"
"864","Sinobatis borneensis"
"865","Sinobatis bulbicauda"
"866","Sinobatis caerulea"
"867","Sinobatis filicauda"
"868","Sinobatis melanosoma"
"869","Somniosus antarcticus"
"870","Somniosus longus"
"871","Somniosus microcephalus"
"872","Somniosus pacificus"
"873","Somniosus rostratus"
"874","Sphyrna corona"
"875","Sphyrna lewini"
"876","Sphyrna media"
"877","Sphyrna mokarran"
"878","Sphyrna tiburo"
"879","Sphyrna tudes"
"880","Sphyrna zygaena"
"881","Spiniraja whitleyi"
"882","Squaliolus aliae"
"883","Squaliolus laticaudus"
"884","Squalus acanthias"
"885","Squalus albifrons"
"886","Squalus altipinnis"
"887","Squalus blainville"
"888","Squalus brevirostris"
"889","Squalus bucephalus"
"890","Squalus chloroculus"
"891","Squalus crassispinus"
"892","Squalus cubensis"
"893","Squalus edmundsi"
"894","Squalus formosus"
"895","Squalus grahami"
"896","Squalus griffini"
"897","Squalus hemipinnis"
"898","Squalus japonicus"
"899","Squalus lalannei"
"900","Squalus megalops"
"901","Squalus melanurus"
"902","Squalus mitsukurii"
"903","Squalus montalbani"
"904","Squalus nasutus"
"905","Squalus notocaudatus"
"906","Squalus rancureli"
"907","Squalus raoulensis"
"908","Squalus suckleyi"
"909","Squatina aculeata"
"910","Squatina africana"
"911","Squatina albipunctata"
"912","Squatina argentina"
"913","Squatina armata"
"914","Squatina australis"
"915","Squatina californica"
"916","Squatina dumeril"
"917","Squatina formosa"
"918","Squatina guggenheim"
"919","Squatina japonica"
"920","Squatina nebulosa"
"921","Squatina occulta"
"922","Squatina oculata"
"923","Squatina pseudocellata"
"924","Squatina squatina"
"925","Squatina tergocellata"
"926","Squatina tergocellatoides"
"927","Stegostoma fasciatum"
"928","Sutorectus tentaculatus"
"929","Sympterygia acuta"
"930","Sympterygia bonapartii"
"931","Sympterygia brevicaudata"
"932","Sympterygia lima"
"933","Taeniura grabata"
