"","Species","Family","Order","Superorder","habitat","vertical","terrestriality","thermo","feeding","diet","max.length","type of length"
"110","Bathyraja pallida","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthopelagic","no","ecto","macropredator","inverts/fish","162","TL"
"111","Bathyraja panthera","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","139","TL"
"112","Bathyraja papilionifera","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","150","TL"
"113","Bathyraja parmifera","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","135","TL"
"114","Bathyraja peruana","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","105","TL"
"115","Bathyraja richardsoni","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthopelagic","no","ecto","macropredator","inverts/fish","175","TL"
"116","Bathyraja scaphiops","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","117","TL"
"117","Bathyraja schroederi","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","130","TL"
"118","Bathyraja shuntovi","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","175","TL"
"119","Bathyraja smirnovi","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","116","TL"
"120","Bathyraja smithii","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","120","TL"
"121","Bathyraja spinicauda","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","182","TL"
"122","Bathyraja spinosissima","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthopelagic","no","ecto","macropredator","fish","203","TL"
"123","Bathyraja taranetzi","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","77","TL"
"124","Bathyraja trachouros","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","102","TL"
"125","Bathyraja trachura","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","94","TL"
"126","Bathyraja tunae","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthopelagic","no","ecto","macropredator","NA","97","TL"
"127","Bathyraja tzinovskii","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","94","TL"
"128","Bathyraja violacea","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","107","TL"
"129","Benthobatis kreffti","Narcinidae","Torpediniformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts","27","TL"
"130","Benthobatis marcida","Narcinidae","Torpediniformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts","50","TL"
"131","Benthobatis moresbyi","Narcinidae","Torpediniformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts","40","TL"
"132","Benthobatis yangi","Narcinidae","Torpediniformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts","37","TL"
"133","Brachaelurus colcloughi","Brachaeluridae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","fish","85","TL"
"134","Brachaelurus waddi","Brachaeluridae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","120","TL"
"135","Breviraja claramaculata","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","29","TL"
"136","Breviraja colesi","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","40","TL"
"137","Breviraja nigriventralis","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","44","TL"
"138","Breviraja spinosa","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","33","TL"
"139","Brochiraja aenigma","Arhynchobatidae","Rajiformes","Batoidea","offshore","benthic","no","ecto","macropredator","NA","44","TL"
"140","Brochiraja albilabiata","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","65","TL"
"141","Brochiraja asperula","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","78","TL"
"142","Brochiraja heuresa","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","38","TL"
"143","Brochiraja leviveneta","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","51","TL"
"144","Brochiraja microspinifera","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","33","TL"
"145","Brochiraja spinifera","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","84","TL"
"146","Brochiraja vittacauda","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","72","TL"
"147","Bythaelurus alcockii","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","30","TL"
"148","Bythaelurus canescens","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","124","TL"
"149","Bythaelurus clevai","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts","42","TL"
"150","Bythaelurus dawsoni","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","42","TL"
"151","Bythaelurus giddingsi","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","45","TL"
"152","Bythaelurus hispidus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","37","TL"
"153","Bythaelurus immaculatus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","76","TL"
"154","Bythaelurus incanus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","45","TL"
"155","Bythaelurus lutarius","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","39","TL"
"156","Carcharhinus acronotus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","164","TL"
"157","Carcharhinus albimarginatus","Carcharhinidae","Carcharhiniformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","300","TL"
"158","Carcharhinus altimus","Carcharhinidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","300","TL"
"159","Carcharhinus amblyrhynchoides","Carcharhinidae","Carcharhiniformes","Selachii","shelf","pelagic","no","ecto","macropredator","inverts/fish","243","TL"
"160","Carcharhinus amblyrhynchos","Carcharhinidae","Carcharhiniformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","265","TL"
"161","Carcharhinus amboinensis","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","280","TL"
"162","Carcharhinus borneensis","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","fish","65","TL"
"163","Carcharhinus brachyurus","Carcharhinidae","Carcharhiniformes","Selachii","all","pelagic","freshwater","ecto","macropredator","inverts/fish","325","TL"
"164","Carcharhinus brevipinna","Carcharhinidae","Carcharhiniformes","Selachii","shelf","pelagic","no","ecto","macropredator","inverts/fish","304","TL"
"165","Carcharhinus cautus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","150","TL"
"166","Carcharhinus cerdale","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","140","TL"
"167","Carcharhinus coatesi","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","88","TL"
"168","Carcharhinus dussumieri","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","101","TL"
"169","Carcharhinus falciformis","Carcharhinidae","Carcharhiniformes","Selachii","all","pelagic","no","ecto","macropredator","inverts/fish","371","TL"
"170","Carcharhinus fitzroyensis","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","139","TL"
"171","Carcharhinus galapagensis","Carcharhinidae","Carcharhiniformes","Selachii","all","benthopelagic","no","ecto","macropredator","fish","370","TL"
"172","Carcharhinus hemiodon","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","freshwater","ecto","macropredator","inverts/fish","102","TL"
"173","Carcharhinus isodon","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","200","TL"
"174","Carcharhinus leiodon","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","fish","165","TL"
"175","Carcharhinus leucas","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","freshwater","ecto","macropredator","inverts/fish/high verts","366","TL"
"176","Carcharhinus limbatus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","286","TL"
"177","Carcharhinus longimanus","Carcharhinidae","Carcharhiniformes","Selachii","all","pelagic","no","ecto","macropredator","inverts/fish/high verts","395","TL"
"178","Carcharhinus macloti","Carcharhinidae","Carcharhiniformes","Selachii","all","pelagic","no","ecto","macropredator","inverts/fish","110","TL"
"179","Carcharhinus melanopterus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","freshwater","ecto","macropredator","inverts/fish","180","TL"
"180","Carcharhinus obscurus","Carcharhinidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","420","TL"
"181","Carcharhinus perezi","Carcharhinidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","brackish","ecto","macropredator","fish","295","TL"
"182","Carcharhinus plumbeus","Carcharhinidae","Carcharhiniformes","Selachii","all","benthopelagic","brackish","ecto","macropredator","inverts/fish","300","TL"
"183","Carcharhinus porosus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","134","TL"
"184","Carcharhinus sealei","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","86","TL"
"185","Carcharhinus signatus","Carcharhinidae","Carcharhiniformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","280","TL"
"186","Carcharhinus sorrah","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","180","TL"
"187","Carcharhinus tilstoni","Carcharhinidae","Carcharhiniformes","Selachii","shelf","pelagic","brackish","ecto","macropredator","inverts/fish","200","TL"
"188","Carcharhinus tjutjot","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","115","TL"
"189","Carcharias taurus","Odontaspididae","Lamniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","325","TL"
"190","Carcharodon carcharias","Lamnidae","Lamniformes","Selachii","all","pelagic","brackish","meso","macropredator","inverts/fish/high verts","640","TL"
"191","Centrophorus atromarginatus","Centrophoridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","99","TL"
"192","Centrophorus granulosus","Centrophoridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","176","TL"
"193","Centrophorus harrissoni","Centrophoridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","114","TL"
"194","Centrophorus isodon","Centrophoridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","108","TL"
"195","Centrophorus moluccensis","Centrophoridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","102","TL"
"196","Centrophorus seychellorum","Centrophoridae","Squaliformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","80","TL"
"197","Centrophorus squamosus","Centrophoridae","Squaliformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","166","TL"
"198","Centrophorus tessellatus","Centrophoridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","90","TL"
"199","Centrophorus westraliensis","Centrophoridae","Squaliformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","91","TL"
"200","Centroscyllium excelsum","Etmopteridae","Squaliformes","Selachii","offshore","benthopelagic","no","ecto","macropredator","fish","64","TL"
"201","Centroscyllium fabricii","Etmopteridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","120","TL"
"202","Centroscyllium granulatum","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","62","TL"
"203","Centroscyllium kamoharai","Etmopteridae","Squaliformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","NA","63","TL"
"204","Centroscyllium nigrum","Etmopteridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","52","TL"
"205","Centroscyllium ornatum","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","51","TL"
"206","Centroscyllium ritteri","Etmopteridae","Squaliformes","Selachii","slope/offshore","benthic","no","ecto","macropredator","NA","49","TL"
"207","Centroscymnus coelolepis","Somniosidae","Squaliformes","Selachii","slope/offshore","benthopelagic","no","ecto","macropredator","inverts/fish/high verts","130","TL"
"208","Centroscymnus crepidater","Somniosidae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","105","TL"
"209","Centroscymnus owstonii","Somniosidae","Squaliformes","Selachii","slope/offshore","benthopelagic","no","ecto","macropredator","inverts/fish","120","TL"
"210","Centroscymnus plunketi","Somniosidae","Squaliformes","Selachii","slope/offshore","benthic","no","ecto","macropredator","inverts/fish","170","TL"
"211","Cephaloscyllium albipinnum","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","110","TL"
"212","Cephaloscyllium cooki","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","30","TL"
"213","Cephaloscyllium fasciatum","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","42","TL"
"214","Cephaloscyllium hiscosellum","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","52","TL"
"215","Cephaloscyllium isabellum","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","150","TL"
"216","Cephaloscyllium laticeps","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","150","TL"
"217","Cephaloscyllium pictum","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","72","TL"
"218","Cephaloscyllium sarawakensis","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","44","TL"
"219","Cephaloscyllium signourum","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","74","TL"
"220","Cephaloscyllium silasi","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts","50","TL"
"221","Cephaloscyllium speccum","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","69","TL"
"222","Cephaloscyllium stevensi","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","66","TL"
"223","Cephaloscyllium sufflans","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","110","TL"
"224","Cephaloscyllium umbratile","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","120","TL"
"225","Cephaloscyllium variegatum","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","74","TL"
"226","Cephaloscyllium ventriosum","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","100","TL"
"227","Cephaloscyllium zebrum","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","45","TL"
"228","Cephalurus cephalus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","37","TL"
"229","Cetorhinus maximus","Cetorhinidae","Lamniformes","Selachii","all","pelagic","no","ecto","filter feeder","plankton","1097","TL"
"230","Chaenogaleus macrostoma","Hemigaleidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","125","TL"
"231","Chiloscyllium arabicum","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","brackish","ecto","macropredator","inverts/fish","80","TL"
"232","Chiloscyllium burmensis","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","fish","57.5","TL"
"233","Chiloscyllium griseum","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","brackish","ecto","macropredator","inverts","77","TL"
"234","Chiloscyllium hasseltii","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts","61","TL"
"235","Chiloscyllium indicum","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","65","TL"
"236","Chiloscyllium plagiosum","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","95","TL"
"237","Chiloscyllium punctatum","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","132","TL"
"238","Chlamydoselachus africana","Chlamydoselachidae","Hexanchiformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","117","TL"
"239","Chlamydoselachus anguineus","Chlamydoselachidae","Hexanchiformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","196","TL"
"240","Cirrhigaleus asper","Squalidae","Squaliformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","124","TL"
"241","Cirrhigaleus australis","Squalidae","Squaliformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","123","TL"
"242","Cirrhigaleus barbifer","Squalidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","126","TL"
"243","Cirrhoscyllium expolitum","Parascylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","33.5","TL"
"244","Cirrhoscyllium formosanum","Parascylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","40","TL"
"245","Cirrhoscyllium japonicum","Parascylliidae","Orectolobiformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","NA","49","TL"
"246","Cruriraja andamanica","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","50","TL"
"247","Cruriraja atlantis","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","34","TL"
"248","Cruriraja cadenati","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","38","TL"
"249","Cruriraja durbanensis","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","31","TL"
"250","Cruriraja hulleyi","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","59","TL"
"251","Cruriraja parcomaculata","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","43","TL"
"252","Cruriraja poeyi","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","34","TL"
"253","Cruriraja rugosa","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","51","TL"
"254","Ctenacis fehlmanni","Proscylliidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts","46","TL"
"255","Dactylobatus armatus","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","32","TL"
"256","Dactylobatus clarkii","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","fish","75","TL"
"257","Dalatias licha","Dalatiidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","182","TL"
"258","Dasyatis acutirostra","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","73","DW"
"259","Dasyatis akajei","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","66","DW"
"260","Dasyatis americana","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","150","DW"
"261","Dasyatis bennettii","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","61","DW"
"262","Dasyatis brevicaudata","Dasyatidae","Myliobatiformes","Batoidea","all","benthic","brackish","ecto","macropredator","inverts/fish","210","DW"
"263","Dasyatis centroura","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","220","DW"
"264","Dasyatis chrysonota","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","75","DW"
"265","Dasyatis colarensis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","165","DW"
"266","Dasyatis dipterura","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","100","DW"
"267","Dasyatis fluviorum","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","160","DW"
"268","Dasyatis garouaensis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts","40","DW"
"269","Dasyatis geijskesi","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","150","DW"
"270","Dasyatis guttata","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","200","DW"
"271","Dasyatis hypostigma","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","58","DW"
"272","Dasyatis izuensis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","42","DW"
"273","Dasyatis laevigata","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","37","DW"
"274","Dasyatis laosensis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts","48","DW"
"275","Dasyatis lata","Dasyatidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","260","DW"
"276","Dasyatis longa","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","158","DW"
"277","Dasyatis margarita","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","78","DW"
"278","Dasyatis margaritella","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","28","DW"
"279","Dasyatis marianae","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","40","DW"
"280","Dasyatis marmorata","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","38","DW"
"281","Dasyatis microps","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthopelagic","brackish","ecto","macropredator","NA","222","DW"
"282","Dasyatis navarrae","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","32","DW"
"283","Dasyatis parvonigra","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","51","DW"
"284","Dasyatis pastinaca","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","68","DW"
"285","Dasyatis rudis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","198","DW"
"286","Dasyatis sabina","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts","45","DW"
"287","Dasyatis say","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","78","DW"
"288","Dasyatis sinensis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","40","DW"
"289","Dasyatis ukpam","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","NA","120","DW"
"290","Dasyatis zugei","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","29","DW"
"291","Deania calcea","Centrophoridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","162","TL"
"292","Deania hystricosa","Centrophoridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","120","TL"
"293","Deania profundorum","Centrophoridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","97","TL"
"294","Deania quadrispinosa","Centrophoridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","fish","118","TL"
"295","Dentiraja lemprieri","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","55","TL"
"296","Diplobatis colombiensis","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","17","TL"
"297","Diplobatis guamachensis","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","20","TL"
"298","Diplobatis ommata","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","25","TL"
"299","Diplobatis pictus","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","18","TL"
"300","Dipturus acrobelus","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","137","TL"
"301","Dipturus apricus","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","fish","77","TL"
"302","Dipturus australis","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","55","TL"
"303","Dipturus batis","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","143","TL"
"304","Dipturus bullisi","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","77","TL"
"305","Dipturus campbelli","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","66","TL"
"306","Dipturus canutus","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","90","TL"
"307","Dipturus cerva","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","66","TL"
"308","Dipturus confusus","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","70","TL"
"309","Dipturus crosnieri","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","61","TL"
